BreakdownID,VehicleReg,EngineerID,BreakdownDATE,BreakdownTIME,BreakdownLoc
1,"AB24 CDE",1,2023-01-10,11:01:00,London
2,"AB24 CFT",3,2022-05-27,09:45:00,London
3,"AB22 CDR",1,2024-05-22,12:20:00,London
4,"AB11 GYL",2,2022-03-20,12:00:00,London
5,"AB24 CFT",2,2023-08-15,15:15:00,London
6,"AB22 CDR",1,2022-02-02,10:50:00,London
7,"AB19 CHG",2,2024-05-22,10:12:00,London
8,"AB24 CDE",3,2023-10-20,11:30:00,London
9,"AB23 FYE",1,2023-11-25,14:37:00,London
10,"AC17 KOE",2,2024-01-15,19:00:00,London
11,"AB24 CFT",3,2024-05-01,12:10:00,London
12,"AB22 JDE",3,2023-11-12,09:22:00,London
